number,available_bikes,available_bikes_stands,last_update
107,10,30,"2021-03-22 13:28:49"
29,7,22,"2021-03-22 13:28:47"
84,17,13,"2021-03-22 13:28:35"
105,5,31,"2021-03-22 13:28:34"
106,7,33,"2021-03-22 13:28:30"
49,12,28,"2021-03-22 13:28:15"
24,2,18,"2021-03-22 13:28:11"
48,4,36,"2021-03-22 13:28:09"
19,14,16,"2021-03-22 13:27:57"
82,10,12,"2021-03-22 13:27:53"
111,10,30,"2021-03-22 13:27:44"
18,13,17,"2021-03-22 13:27:36"
110,17,23,"2021-03-22 13:27:31"
10,8,8,"2021-03-22 13:27:26"
32,12,18,"2021-03-22 13:27:07"
11,12,18,"2021-03-22 13:26:47"
112,10,20,"2021-03-22 13:26:41"
69,12,27,"2021-03-22 13:26:40"
2,7,13,"2021-03-22 13:26:36"
33,7,16,"2021-03-22 13:26:31"
28,8,22,"2021-03-22 13:26:31"
55,12,24,"2021-03-22 13:26:31"
71,4,35,"2021-03-22 13:26:29"
43,8,22,"2021-03-22 13:26:25"
47,5,35,"2021-03-22 13:26:23"
74,10,19,"2021-03-22 13:26:16"
36,11,29,"2021-03-22 13:26:12"
67,14,26,"2021-03-22 13:26:01"
115,12,18,"2021-03-22 13:25:58"
59,12,8,"2021-03-22 13:25:51"
21,13,17,"2021-03-22 13:25:51"
72,7,24,"2021-03-22 13:25:50"
6,4,16,"2021-03-22 13:25:40"
40,12,9,"2021-03-22 13:25:39"
8,10,20,"2021-03-22 13:25:38"
27,8,12,"2021-03-22 13:25:28"
31,6,13,"2021-03-22 13:25:23"
56,12,28,"2021-03-22 13:25:20"
58,10,30,"2021-03-22 13:25:16"
37,3,27,"2021-03-22 13:25:14"
108,12,28,"2021-03-22 13:25:11"
78,18,21,"2021-03-22 13:25:07"
93,11,29,"2021-03-22 13:25:06"
5,12,28,"2021-03-22 13:25:01"
116,7,23,"2021-03-22 13:24:49"
95,13,27,"2021-03-22 13:24:41"
77,8,21,"2021-03-22 13:24:40"
49,13,27,"2021-03-22 13:24:37"
5,11,29,"2021-03-22 13:24:37"
13,11,19,"2021-03-22 13:24:36"
48,2,38,"2021-03-22 13:24:31"
56,11,29,"2021-03-22 13:24:30"
50,12,28,"2021-03-22 13:24:28"
57,7,16,"2021-03-22 13:24:24"
3,10,10,"2021-03-22 13:24:19"
17,9,11,"2021-03-22 13:24:18"
52,11,21,"2021-03-22 13:24:09"
31,5,14,"2021-03-22 13:24:08"
32,11,19,"2021-03-22 13:24:00"
51,10,30,"2021-03-22 13:23:59"
114,10,30,"2021-03-22 13:23:58"
91,4,26,"2021-03-22 13:23:55"
42,12,18,"2021-03-22 13:23:53"
113,14,26,"2021-03-22 13:23:53"
38,17,23,"2021-03-22 13:23:50"
99,6,24,"2021-03-22 13:23:49"
12,5,15,"2021-03-22 13:23:48"
58,9,31,"2021-03-22 13:23:43"
26,8,12,"2021-03-22 13:23:37"
23,12,18,"2021-03-22 13:23:36"
9,5,19,"2021-03-22 13:23:35"
41,3,17,"2021-03-22 13:23:29"
30,8,12,"2021-03-22 13:23:28"
79,12,14,"2021-03-22 13:23:21"
72,9,22,"2021-03-22 13:23:12"
62,3,37,"2021-03-22 13:23:08"
61,15,9,"2021-03-22 13:23:07"
63,13,22,"2021-03-22 13:23:04"
45,4,26,"2021-03-22 13:22:51"
97,12,28,"2021-03-22 13:22:47"
96,5,25,"2021-03-22 13:22:45"
112,11,19,"2021-03-22 13:22:44"
115,12,18,"2021-03-22 13:22:40"
87,11,27,"2021-03-22 13:22:40"
53,7,33,"2021-03-22 13:22:32"
101,12,17,"2021-03-22 13:22:27"
64,7,33,"2021-03-22 13:22:25"
73,15,15,"2021-03-22 13:22:24"
24,3,17,"2021-03-22 13:22:24"
33,6,17,"2021-03-22 13:22:19"
100,15,10,"2021-03-22 13:22:10"
44,18,12,"2021-03-22 13:22:07"
