description,temp,temp_min,temp_max,humidity,intervals,number,available_bikes,available_bikes_stands,Day,Bikes_available
few clouds,11,11,12,76,2021-03-19 15:45:00,8,1,29,Friday,1
few clouds,11,11,12,76,2021-03-19 15:45:00,16,7,13,Friday,7
few clouds,11,11,12,76,2021-03-19 15:45:00,17,12,8,Friday,12
few clouds,11,11,12,76,2021-03-19 15:45:00,9,22,2,Friday,22
few clouds,11,11,12,76,2021-03-19 15:45:00,80,14,26,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,74,3,27,Friday,3
few clouds,11,11,12,76,2021-03-19 15:45:00,109,4,25,Friday,4
few clouds,11,11,12,76,2021-03-19 15:45:00,26,13,7,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,47,7,33,Friday,7
few clouds,11,11,12,76,2021-03-19 15:45:00,67,2,38,Friday,2
few clouds,11,11,12,76,2021-03-19 15:45:00,90,13,27,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,106,19,21,Friday,19
few clouds,11,11,12,76,2021-03-19 15:45:00,99,8,22,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,36,10,30,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,3,2,18,Friday,2
few clouds,11,11,12,76,2021-03-19 15:45:00,64,9,31,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,78,6,34,Friday,6
few clouds,11,11,12,76,2021-03-19 15:45:00,93,10,30,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,34,15,15,Friday,15
few clouds,11,11,12,76,2021-03-19 15:45:00,44,15,15,Friday,15
few clouds,11,11,12,76,2021-03-19 15:45:00,71,15,25,Friday,15
few clouds,11,11,12,76,2021-03-19 15:45:00,73,9,21,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,94,2,38,Friday,2
few clouds,11,11,12,76,2021-03-19 15:45:00,110,12,28,Friday,12
few clouds,11,11,12,76,2021-03-19 15:45:00,86,7,31,Friday,7
few clouds,11,11,12,76,2021-03-19 15:45:00,42,14,16,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,107,10,30,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,75,7,33,Friday,7
few clouds,11,11,12,76,2021-03-19 15:45:00,58,13,27,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,59,10,10,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,48,9,31,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,27,16,4,Friday,16
few clouds,11,11,12,76,2021-03-19 15:45:00,102,14,26,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,79,14,13,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,45,5,25,Friday,5
few clouds,11,11,12,76,2021-03-19 15:45:00,29,16,13,Friday,16
few clouds,11,11,12,76,2021-03-19 15:45:00,36,11,29,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,6,10,10,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,94,2,38,Friday,2
few clouds,11,11,12,76,2021-03-19 15:45:00,58,11,29,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,42,14,16,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,97,10,30,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,75,7,33,Friday,7
few clouds,11,11,12,76,2021-03-19 15:45:00,111,5,35,Friday,5
few clouds,11,11,12,76,2021-03-19 15:45:00,59,10,10,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,102,14,26,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,79,14,13,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,86,6,32,Friday,6
few clouds,11,11,12,76,2021-03-19 15:45:00,19,14,16,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,33,10,13,Friday,10
few clouds,11,11,12,76,2021-03-19 15:45:00,107,9,31,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,45,5,25,Friday,5
few clouds,11,11,12,76,2021-03-19 15:45:00,65,7,33,Friday,7
few clouds,11,11,12,76,2021-03-19 15:45:00,99,8,22,Friday,8
few clouds,11,11,12,76,2021-03-19 15:45:00,106,19,21,Friday,19
few clouds,11,11,12,76,2021-03-19 15:45:00,108,11,29,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,38,13,27,Friday,13
few clouds,11,11,12,76,2021-03-19 15:45:00,71,15,25,Friday,15
few clouds,11,11,12,76,2021-03-19 15:45:00,36,11,29,Friday,11
few clouds,11,11,12,76,2021-03-19 15:45:00,44,15,15,Friday,15
few clouds,11,11,12,76,2021-03-19 15:45:00,34,14,16,Friday,14
few clouds,11,11,12,76,2021-03-19 15:45:00,62,6,34,Friday,6
few clouds,11,11,12,76,2021-03-19 15:45:00,112,9,20,Friday,9
few clouds,11,11,12,76,2021-03-19 15:45:00,53,17,23,Friday,17
