number,available_bikes,available_bikes_stands,intervals,description,temp,temp_min,temp_max,humidity,Day,Bikes_available
47,7,33,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,7
95,16,24,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,16
75,7,33,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,7
36,9,31,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
48,9,31,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
59,10,10,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
28,15,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
64,9,31,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
3,2,18,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,2
110,12,28,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
4,8,12,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,8
76,21,17,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,21
90,12,28,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
10,9,7,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
91,21,9,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,21
111,4,36,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,4
9,24,0,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,24
37,9,21,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
33,10,13,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
56,14,26,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
85,10,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
63,12,23,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
11,10,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
72,19,12,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,19
103,10,30,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
65,7,33,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,7
53,17,23,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,17
7,16,13,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,16
77,16,13,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,16
41,14,6,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
19,11,19,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,11
82,3,19,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,3
