number,available_bikes,available_bikes_stands,intervals,description,temp,temp_min,temp_max,humidity,Day,Stands_available
105,11,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,25
69,7,33,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,33
43,11,19,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,19
114,2,38,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,38
19,15,15,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,15
98,6,34,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,34
9,20,4,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,4
17,12,8,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,8
68,18,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,22
49,4,36,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,36
62,6,34,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,34
29,16,13,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
5,19,21,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,21
83,16,24,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,24
117,0,40,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,40
57,6,17,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,17
92,15,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,25
84,15,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
61,6,19,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,19
40,8,13,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
105,11,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,25
114,2,38,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,38
51,5,35,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,35
24,14,6,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,6
26,14,6,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,6
66,21,19,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,19
38,14,26,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,26
18,12,18,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,18
98,6,34,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,34
6,10,10,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
79,13,14,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
13,7,23,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,23
107,9,31,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,31
67,1,39,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,39
95,15,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,25
22,6,14,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
50,7,33,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,33
86,8,30,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,30
104,9,31,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,31
19,12,18,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,18
77,14,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
39,10,10,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
66,20,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,20
38,13,27,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,27
73,5,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,25
33,9,14,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
96,8,22,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,22
103,11,29,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,29
87,10,28,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,28
25,15,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
54,10,23,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,23
89,16,24,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,24
40,7,14,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,14
115,12,18,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,18
52,12,20,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,20
116,14,16,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,16
5,24,16,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,16
34,20,10,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
93,10,30,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,30
78,6,34,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,34
80,12,28,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,28
44,15,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
2,8,12,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
112,9,21,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,21
100,23,2,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,2
94,2,38,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,38
45,5,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,25
42,14,16,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,16
47,7,33,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,33
95,16,24,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,24
75,7,33,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,33
36,9,31,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,31
48,9,31,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,31
59,10,10,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,10
28,15,15,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,15
64,9,31,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,31
3,2,18,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,18
110,12,28,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,28
4,8,12,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,12
76,21,17,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,17
90,12,28,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,28
10,9,7,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,7
91,21,9,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,9
111,4,36,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,36
9,24,0,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,0
37,9,21,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,21
33,10,13,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,13
56,14,26,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,26
85,10,25,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,25
63,12,23,2021-03-19 16:00:00,few clouds,11,10,12,76,Friday,23
